e,E,s,k
kline,1714310481005,BTCUSDT,"{'t': 1714310480000, 'T': 1714310480999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022029, 'L': 3577022035, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.00140000', 'n': 7, 'x': True, 'q': '89.25611800', 'V': '0.00140000', 'Q': '89.25611800', 'B': '0'}"
kline,1714310482005,BTCUSDT,"{'t': 1714310481000, 'T': 1714310481999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022036, 'L': 3577022037, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.07243000', 'n': 2, 'x': True, 'q': '4617.72900390', 'V': '0.07091000', 'Q': '4520.82237670', 'B': '0'}"
kline,1714310483005,BTCUSDT,"{'t': 1714310482000, 'T': 1714310482999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022038, 'L': 3577022038, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.01505000', 'n': 1, 'x': True, 'q': '959.50326850', 'V': '0.01505000', 'Q': '959.50326850', 'B': '0'}"
kline,1714310484005,BTCUSDT,"{'t': 1714310483000, 'T': 1714310483999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022039, 'L': 3577022046, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.07959000', 'n': 8, 'x': True, 'q': '5074.21026600', 'V': '0.07536000', 'Q': '4804.52932320', 'B': '0'}"
kline,1714310485004,BTCUSDT,"{'t': 1714310484000, 'T': 1714310484999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022047, 'L': 3577022048, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.00031000', 'n': 2, 'x': True, 'q': '19.76385470', 'V': '0.00031000', 'Q': '19.76385470', 'B': '0'}"
kline,1714310486005,BTCUSDT,"{'t': 1714310485000, 'T': 1714310485999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022049, 'L': 3577022050, 'o': '63754.36000000', 'c': '63754.36000000', 'h': '63754.36000000', 'l': '63754.36000000', 'v': '0.00421000', 'n': 2, 'x': True, 'q': '268.40585560', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310487005,BTCUSDT,"{'t': 1714310486000, 'T': 1714310486999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022051, 'L': 3577022052, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.00168000', 'n': 2, 'x': True, 'q': '107.10734160', 'V': '0.00168000', 'Q': '107.10734160', 'B': '0'}"
kline,1714310488005,BTCUSDT,"{'t': 1714310487000, 'T': 1714310487999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022053, 'L': 3577022057, 'o': '63754.36000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.01070000', 'n': 5, 'x': True, 'q': '682.17170160', 'V': '0.00496000', 'Q': '316.22167520', 'B': '0'}"
kline,1714310489005,BTCUSDT,"{'t': 1714310488000, 'T': 1714310488999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022058, 'L': 3577022058, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.00015000', 'n': 1, 'x': True, 'q': '9.56315550', 'V': '0.00015000', 'Q': '9.56315550', 'B': '0'}"
kline,1714310490005,BTCUSDT,"{'t': 1714310489000, 'T': 1714310489999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022059, 'L': 3577022059, 'o': '63754.36000000', 'c': '63754.36000000', 'h': '63754.36000000', 'l': '63754.36000000', 'v': '0.00462000', 'n': 1, 'x': True, 'q': '294.54514320', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310491005,BTCUSDT,"{'t': 1714310490000, 'T': 1714310490999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022060, 'L': 3577022064, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00709000', 'n': 5, 'x': True, 'q': '452.01848080', 'V': '0.00684000', 'Q': '436.07989080', 'B': '0'}"
